repo,created_at,age_days
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,3017
sindresorhus/awesome,2014-07-11T13:42:37Z,4415
public-apis/public-apis,2016-03-20T23:49:42Z,3797
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,4249
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,4689
openclaw/openclaw,2025-11-24T10:16:47Z,262
nilbuild/developer-roadmap,2017-03-15T13:45:52Z,3437
donnemartin/system-design-primer,2017-02-26T16:15:28Z,3454
jwasham/coding-interview-university,2016-06-06T02:34:12Z,3720
vinta/awesome-python,2014-06-27T21:00:06Z,4429
